subject,predicate,object,context
http://www.wikidata.org/entity/Q116235801,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116235801,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116235801,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116236111,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116236111,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116236111,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q116255563,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q116255563,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q30,
http://www.wikidata.org/entity/Q116255563,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q23768,
http://www.wikidata.org/entity/Q113290630,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q113290630,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q183,
http://www.wikidata.org/entity/Q113290630,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q1726,
http://www.wikidata.org/entity/Q113290637,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q113290637,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q183,
http://www.wikidata.org/entity/Q113290637,http://www.wikidata.org/prop/direct/P113,http://www.wikidata.org/entity/Q1726,
http://www.wikidata.org/entity/Q113290643,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q105321449,
http://www.wikidata.org/entity/Q113290643,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q183,
